Environment Particle Array
File id	$00	12	File id
Level id	$04	17	Level id
Not used	$08	1022	Not used
Packages	$1E	2	Amount of packages that follow
*Package		$20	$1E	2	208
3D particle	$00	164	Reference to a BINA file of level 0
Particle name	$40	10048	Name of the particle
Unknown	$70	9	Unknown
Unknown	$74	9	Unknown
Unknown	$78	9	Unknown
Unknown	$7C	9	Unknown
Unknown	$80	9	Unknown
Unknown	$84	9	Unknown
Unknown	$88	9	Unknown
Unknown	$8C	9	Unknown
Unknown	$90	9	Unknown
Unknown	$94	9	Unknown
Unknown	$98	9	Unknown
Unknown	$9C	9	Unknown
Unknown	$A0	9	Unknown
Unknown	$A4	9	Unknown
Unknown	$A8	1040	Unknown; always the same
