Gunk Quad General Array
File id	$00	12	File id
Level id	$04	17	Level id
Not used	$08	1020	Not used
Packages	$1C	4	Amount of packages that follow
*Package		$20	$1C	4	56
Unknown	$00	4	Unknown
Unknown	$04	4	Unknown
Unknown	$08	4	Unknown
Unknown	$0C	4	Unknown
Unknown	$10	4	Unknown
Unknown	$14	4	Unknown
Unknown	$18	4	Unknown
Unknown	$1C	4	Unknown
Unknown	$20	2	Unknown
Unknown	$22	2	Unknown
Unknown	$24	2	Unknown
Unknown	$26	2	Unknown
Unknown	$28	2	Unknown
Unknown	$2A	2	Unknown
Unknown	$2C	2	Unknown
Unknown	$2E	2	Unknown
Unknown	$30	2	Unknown
Unknown	$32	2	Unknown
Unknown	$34	4	Unknown
